cursor,block,recorded,combo_index,selection_index,A,W,EW_ratio,D,movement_time_s,errors
bubble,1,True,10,8,512,8,2,1,1.2471,0
bubble,1,True,11,0,768,16,3,0,0.7763,0
bubble,1,True,11,1,512,16,3,0,1.0258,1
bubble,1,True,11,2,512,16,3,0,1.0189,0
bubble,1,True,11,3,256,16,3,0,0.7855,0
bubble,1,True,11,4,256,16,3,0,0.776,0
bubble,1,True,11,5,768,16,3,0,1.0353,0
bubble,1,True,11,6,768,16,3,0,1.6306,0
bubble,1,True,11,7,512,16,3,0,1.0297,0
bubble,1,True,11,8,256,16,3,0,0.8501,0
bubble,1,True,12,0,256,8,2,0.5,1.3483,0
bubble,1,True,12,1,512,8,2,0.5,0.9631,0
bubble,1,True,12,2,256,8,2,0.5,1.2023,0
bubble,1,True,12,3,768,8,2,0.5,1.1683,0
bubble,1,True,12,4,768,8,2,0.5,1.045,0
bubble,1,True,12,5,512,8,2,0.5,0.9856,0
bubble,1,True,12,6,768,8,2,0.5,1.4724,1
bubble,1,True,12,7,512,8,2,0.5,1.0637,0
bubble,1,True,12,8,256,8,2,0.5,0.9889,0
bubble,1,True,13,0,256,8,3,0,1.1191,0
bubble,1,True,13,1,768,8,3,0,1.1952,1
bubble,1,True,13,2,512,8,3,0,0.9157,0
bubble,1,True,13,3,256,8,3,0,0.9848,0
bubble,1,True,13,4,768,8,3,0,1.0977,0
bubble,1,True,13,5,512,8,3,0,1.09,0
bubble,1,True,13,6,512,8,3,0,1.0886,0
bubble,1,True,13,7,768,8,3,0,1.4101,1
bubble,1,True,13,8,256,8,3,0,0.9484,0
bubble,1,True,14,0,768,8,1.33,0,1.8383,1
bubble,1,True,14,1,512,8,1.33,0,1.1157,0
bubble,1,True,14,2,768,8,1.33,0,1.5956,0
bubble,1,True,14,3,768,8,1.33,0,1.6152,0
bubble,1,True,14,4,256,8,1.33,0,1.1508,0
bubble,1,True,14,5,512,8,1.33,0,1.1403,0
bubble,1,True,14,6,512,8,1.33,0,1.3678,0
bubble,1,True,14,7,256,8,1.33,0,1.3976,0
bubble,1,True,14,8,256,8,1.33,0,1.0462,0
bubble,1,True,15,0,256,24,1.33,0,0.8248,0
bubble,1,True,15,1,256,24,1.33,0,0.8819,0
bubble,1,True,15,2,768,24,1.33,0,1.023,0
bubble,1,True,15,3,512,24,1.33,0,0.9171,0
bubble,1,True,15,4,768,24,1.33,0,0.9991,0
bubble,1,True,15,5,512,24,1.33,0,0.9744,0
bubble,1,True,15,6,768,24,1.33,0,1.0384,0
bubble,1,True,15,7,256,24,1.33,0,1.3892,0
bubble,1,True,15,8,512,24,1.33,0,1.0087,0
bubble,1,True,16,0,256,16,3,0.5,0.9139,0
bubble,1,True,16,1,256,16,3,0.5,0.9468,0
bubble,1,True,16,2,768,16,3,0.5,1.0828,0
bubble,1,True,16,3,768,16,3,0.5,1.4188,0
bubble,1,True,16,4,768,16,3,0.5,0.8356,0
bubble,1,True,16,5,512,16,3,0.5,1.1503,0
bubble,1,True,16,6,512,16,3,0.5,1.0812,0
bubble,1,True,16,7,256,16,3,0.5,0.8826,0
bubble,1,True,16,8,512,16,3,0.5,1.396,0
bubble,1,True,17,0,256,8,1.33,1,1.0992,0
bubble,1,True,17,1,512,8,1.33,1,1.376,0
bubble,1,True,17,2,512,8,1.33,1,1.806,0
bubble,1,True,17,3,256,8,1.33,1,1.708,0
bubble,1,True,17,4,512,8,1.33,1,1.8609,0
bubble,1,True,17,5,768,8,1.33,1,1.377,0
bubble,1,True,17,6,256,8,1.33,1,1.3854,0
bubble,1,True,17,7,768,8,1.33,1,1.6406,0
bubble,1,True,17,8,768,8,1.33,1,1.2569,0
bubble,1,True,18,0,256,24,3,1,0.7215,0
bubble,1,True,18,1,512,24,3,1,0.7179,0
bubble,1,True,18,2,512,24,3,1,0.8932,0
bubble,1,True,18,3,768,24,3,1,1.06,0
bubble,1,True,18,4,256,24,3,1,0.6662,0
bubble,1,True,18,5,256,24,3,1,0.8572,0
bubble,1,True,18,6,768,24,3,1,1.3142,0
bubble,1,True,18,7,512,24,3,1,0.8121,0
bubble,1,True,18,8,768,24,3,1,0.8933,0
bubble,1,True,19,0,256,16,3,1,0.9347,0
bubble,1,True,19,1,256,16,3,1,0.9262,0
bubble,1,True,19,2,768,16,3,1,1.6394,0
bubble,1,True,19,3,512,16,3,1,1.1873,0
bubble,1,True,19,4,256,16,3,1,0.9521,0
bubble,1,True,19,5,768,16,3,1,1.7683,0
bubble,1,True,19,6,768,16,3,1,1.0079,0
bubble,1,True,19,7,512,16,3,1,0.9922,0
bubble,1,True,19,8,512,16,3,1,0.8718,0
bubble,1,True,20,0,256,16,1.33,1,0.975,0
bubble,1,True,20,1,256,16,1.33,1,1.0403,0
bubble,1,True,20,2,768,16,1.33,1,1.3501,0
bubble,1,True,20,3,512,16,1.33,1,1.1518,0
bubble,1,True,20,4,768,16,1.33,1,1.572,0
bubble,1,True,20,5,512,16,1.33,1,1.2639,0
bubble,1,True,20,6,256,16,1.33,1,0.8964,0
bubble,1,True,20,7,512,16,1.33,1,1.1043,0
bubble,1,True,20,8,768,16,1.33,1,1.3816,0
bubble,1,True,21,0,512,16,1.33,0.5,1.5015,1
bubble,1,True,21,1,512,16,1.33,0.5,1.0388,0
bubble,1,True,21,2,768,16,1.33,0.5,1.2212,0
bubble,1,True,21,3,512,16,1.33,0.5,1.0186,0
