cursor,block,recorded,combo_index,A,W,EW,selection_index,movement_time_s,errors
bubble,1,True,22,192,8,64,1,0.9164,0
bubble,1,True,22,192,8,64,2,0.7231,0
bubble,1,True,22,192,8,64,3,0.7097,0
bubble,1,True,22,192,8,64,4,0.5451,0
bubble,1,True,22,192,8,64,5,0.6523,0
bubble,1,True,23,768,8,32,1,2.6613,1
bubble,1,True,23,768,8,32,2,0.9644,0
bubble,1,True,23,768,8,32,3,1.0122,0
bubble,1,True,23,768,8,32,4,0.9749,0
bubble,1,True,23,768,8,32,5,0.8966,0
bubble,1,True,24,192,24,64,1,1.2988,0
bubble,1,True,24,192,24,64,2,0.5338,0
bubble,1,True,24,192,24,64,3,0.6946,0
bubble,1,True,24,192,24,64,4,0.4446,0
bubble,1,True,24,192,24,64,5,0.6011,0
bubble,1,True,25,384,24,64,1,0.8466,0
bubble,1,True,25,384,24,64,2,0.5998,0
bubble,1,True,25,384,24,64,3,0.649,0
bubble,1,True,25,384,24,64,4,0.747,0
bubble,1,True,25,384,24,64,5,0.6122,0
bubble,1,True,26,192,16,96,1,1.317,0
bubble,1,True,26,192,16,96,2,0.9272,0
bubble,1,True,26,192,16,96,3,1.0249,0
bubble,1,True,26,192,16,96,4,0.4147,0
bubble,1,True,26,192,16,96,5,0.4731,0
bubble,2,True,0,768,24,96,1,1.0277,0
bubble,2,True,0,768,24,96,2,0.8273,0
bubble,2,True,0,768,24,96,3,0.8207,0
bubble,2,True,0,768,24,96,4,0.8716,0
bubble,2,True,0,768,24,96,5,0.7162,0
bubble,2,True,1,384,16,96,1,0.844,0
bubble,2,True,1,384,16,96,2,0.5764,0
bubble,2,True,1,384,16,96,3,0.6205,0
bubble,2,True,1,384,16,96,4,0.4672,0
bubble,2,True,1,384,16,96,5,0.6517,0
bubble,2,True,2,768,8,64,1,1.1337,0
bubble,2,True,2,768,8,64,2,0.934,0
bubble,2,True,2,768,8,64,3,1.0175,0
bubble,2,True,2,768,8,64,4,1.0476,0
bubble,2,True,2,768,8,64,5,0.8074,0
bubble,2,True,3,192,8,96,1,1.485,1
bubble,2,True,3,192,8,96,2,0.4394,0
bubble,2,True,3,192,8,96,3,0.4398,0
bubble,2,True,3,192,8,96,4,0.4774,0
bubble,2,True,3,192,8,96,5,0.6353,0
bubble,2,True,4,384,16,64,1,0.7994,0
bubble,2,True,4,384,16,64,2,0.6959,0
bubble,2,True,4,384,16,64,3,0.6011,0
bubble,2,True,4,384,16,64,4,0.7724,0
bubble,2,True,4,384,16,64,5,0.6314,0
bubble,2,True,5,384,24,64,1,0.6361,0
bubble,2,True,5,384,24,64,2,0.7801,0
bubble,2,True,5,384,24,64,3,1.0733,0
bubble,2,True,5,384,24,64,4,0.6934,0
bubble,2,True,5,384,24,64,5,0.6243,0
bubble,2,True,6,192,16,32,1,1.6086,1
bubble,2,True,6,192,16,32,2,2.0204,2
bubble,2,True,6,192,16,32,3,0.8078,0
bubble,2,True,6,192,16,32,4,0.7403,0
bubble,2,True,6,192,16,32,5,0.5798,0
bubble,2,True,7,384,8,32,1,1.8273,1
bubble,2,True,7,384,8,32,2,0.88,0
bubble,2,True,7,384,8,32,3,0.793,0
bubble,2,True,7,384,8,32,4,0.8639,0
bubble,2,True,7,384,8,32,5,0.8283,0
bubble,2,True,8,384,8,64,1,1.2844,0
bubble,2,True,8,384,8,64,2,0.6909,0
bubble,2,True,8,384,8,64,3,0.6639,0
bubble,2,True,8,384,8,64,4,0.5936,0
bubble,2,True,8,384,8,64,5,0.9185,0
bubble,2,True,9,384,24,96,1,1.157,0
bubble,2,True,9,384,24,96,2,0.8522,0
bubble,2,True,9,384,24,96,3,0.7117,0
bubble,2,True,9,384,24,96,4,0.7399,0
bubble,2,True,9,384,24,96,5,0.6811,0
bubble,2,True,10,768,24,64,1,1.0228,0
bubble,2,True,10,768,24,64,2,0.7518,0
bubble,2,True,10,768,24,64,3,0.9683,0
bubble,2,True,10,768,24,64,4,0.9039,0
bubble,2,True,10,768,24,64,5,0.7041,0
bubble,2,True,11,768,16,32,1,1.8436,0
bubble,2,True,11,768,16,32,2,1.0402,0
bubble,2,True,11,768,16,32,3,0.9037,0
bubble,2,True,11,768,16,32,4,0.8399,0
bubble,2,True,11,768,16,32,5,0.8489,0
bubble,2,True,12,768,16,96,1,1.3393,1
bubble,2,True,12,768,16,96,2,0.6816,0
bubble,2,True,12,768,16,96,3,0.7185,0
bubble,2,True,12,768,16,96,4,1.0326,0
bubble,2,True,12,768,16,96,5,0.7932,0
bubble,2,True,13,768,8,32,1,2.4078,1
bubble,2,True,13,768,8,32,2,0.9988,0
bubble,2,True,13,768,8,32,3,1.2995,0
bubble,2,True,13,768,8,32,4,1.0037,0
bubble,2,True,13,768,8,32,5,1.1211,0
bubble,2,True,14,192,16,96,1,1.0337,0
bubble,2,True,14,192,16,96,2,0.4318,0
bubble,2,True,14,192,16,96,3,0.4801,0
bubble,2,True,14,192,16,96,4,0.3941,0
bubble,2,True,14,192,16,96,5,0.374,0
bubble,2,True,15,192,24,96,1,0.8613,0
bubble,2,True,15,192,24,96,2,0.2788,0
bubble,2,True,15,192,24,96,3,0.3781,0
bubble,2,True,15,192,24,96,4,1.3997,3
bubble,2,True,15,192,24,96,5,1.103,2
bubble,2,True,16,192,24,32,1,1.1443,1
bubble,2,True,16,192,24,32,2,0.5636,0
bubble,2,True,16,192,24,32,3,0.544,0
bubble,2,True,16,192,24,32,4,0.8081,0
bubble,2,True,16,192,24,32,5,0.4962,0
bubble,2,True,17,384,8,96,1,1.4113,1
bubble,2,True,17,384,8,96,2,0.9046,0
bubble,2,True,17,384,8,96,3,0.5612,0
bubble,2,True,17,384,8,96,4,0.598,0
bubble,2,True,17,384,8,96,5,0.6407,0
bubble,2,True,18,192,24,64,1,0.8733,0
