cursor,block,recorded,combo_index,A,W,EW,selection_index,movement_time_s,errors
point,1,True,24,768,24,64,1,0.8712,0
point,1,True,24,768,24,64,2,0.9409,0
point,1,True,24,768,24,64,3,0.8776,0
point,1,True,24,768,24,64,4,0.983,0
point,1,True,24,768,24,64,5,0.903,0
point,1,True,25,768,8,32,1,2.1246,0
point,1,True,25,768,8,32,2,1.3201,0
point,1,True,25,768,8,32,3,1.7756,0
point,1,True,25,768,8,32,4,4.4162,2
point,1,True,25,768,8,32,5,1.3086,0
point,1,True,26,768,16,64,1,1.0313,0
point,1,True,26,768,16,64,2,1.4526,0
point,1,True,26,768,16,64,3,1.38,0
point,1,True,26,768,16,64,4,1.0238,0
point,1,True,26,768,16,64,5,0.96,0
point,2,True,0,768,8,32,1,1.4837,0
point,2,True,0,768,8,32,2,1.2603,0
point,2,True,0,768,8,32,3,1.4929,0
point,2,True,0,768,8,32,4,1.2279,0
point,2,True,0,768,8,32,5,2.1319,1
point,2,True,1,768,8,64,1,1.3074,0
point,2,True,1,768,8,64,2,0.9848,0
point,2,True,1,768,8,64,3,1.9468,0
point,2,True,1,768,8,64,4,1.4008,0
point,2,True,1,768,8,64,5,1.1155,0
point,2,True,2,384,16,32,1,0.9732,0
point,2,True,2,384,16,32,2,1.0631,0
point,2,True,2,384,16,32,3,1.1678,0
point,2,True,2,384,16,32,4,1.1883,0
point,2,True,2,384,16,32,5,0.8757,0
point,2,True,3,192,16,32,1,1.2004,0
point,2,True,3,192,16,32,2,0.8123,0
point,2,True,3,192,16,32,3,0.8321,0
point,2,True,3,192,16,32,4,1.2321,0
point,2,True,3,192,16,32,5,0.7263,0
point,2,True,4,192,8,32,1,1.4654,0
point,2,True,4,192,8,32,2,1.0681,0
point,2,True,4,192,8,32,3,0.8353,0
point,2,True,4,192,8,32,4,0.8445,0
point,2,True,4,192,8,32,5,1.1989,0
point,2,True,5,192,24,64,1,1.1478,0
point,2,True,5,192,24,64,2,0.7844,0
point,2,True,5,192,24,64,3,0.7279,0
point,2,True,5,192,24,64,4,0.9121,0
point,2,True,5,192,24,64,5,0.8401,0
point,2,True,6,192,24,96,1,0.9408,0
point,2,True,6,192,24,96,2,1.1601,1
point,2,True,6,192,24,96,3,1.0711,0
point,2,True,6,192,24,96,4,0.881,0
point,2,True,6,192,24,96,5,1.0408,0
point,2,True,7,384,16,64,1,1.1109,0
point,2,True,7,384,16,64,2,1.3045,0
point,2,True,7,384,16,64,3,1.2631,0
point,2,True,7,384,16,64,4,0.9833,0
