cursor,block,recorded,combo_index,selection_index,A,W,EW_ratio,D,movement_time_s,errors
point,1,True,11,6,256,24,1.33,1,0.8243,0
point,1,True,11,7,256,24,1.33,1,1.0436,0
point,1,True,11,8,768,24,1.33,1,1.1572,0
point,1,True,12,0,256,16,2,0.5,1.1136,1
point,1,True,12,1,768,16,2,0.5,1.2832,0
point,1,True,12,2,512,16,2,0.5,0.9988,0
point,1,True,12,3,256,16,2,0.5,1.2584,0
point,1,True,12,4,512,16,2,0.5,1.4627,1
point,1,True,12,5,768,16,2,0.5,1.0161,0
point,1,True,12,6,256,16,2,0.5,1.1899,0
point,1,True,12,7,512,16,2,0.5,1.9509,3
point,1,True,12,8,768,16,2,0.5,1.043,0
point,1,True,13,0,512,8,2,1,1.1268,0
point,1,True,13,1,768,8,2,1,1.2163,0
point,1,True,13,2,512,8,2,1,1.7897,2
point,1,True,13,3,256,8,2,1,1.3463,0
point,1,True,13,4,256,8,2,1,1.4282,0
point,1,True,13,5,256,8,2,1,1.3385,0
point,1,True,13,6,768,8,2,1,1.4522,0
point,1,True,13,7,512,8,2,1,1.2104,0
point,1,True,13,8,768,8,2,1,1.1922,0
point,1,True,14,0,256,24,1.33,0,0.9973,0
point,1,True,14,1,512,24,1.33,0,1.0305,0
point,1,True,14,2,256,24,1.33,0,1.07,0
point,1,True,14,3,768,24,1.33,0,0.9026,0
point,1,True,14,4,768,24,1.33,0,1.2849,1
point,1,True,14,5,768,24,1.33,0,0.8079,0
point,1,True,14,6,512,24,1.33,0,0.8779,0
point,1,True,14,7,256,24,1.33,0,0.7304,0
point,1,True,14,8,512,24,1.33,0,1.2263,1
point,1,True,15,0,256,8,2,0.5,1.1025,0
point,1,True,15,1,512,8,2,0.5,1.9705,1
point,1,True,15,2,512,8,2,0.5,1.0563,0
point,1,True,15,3,768,8,2,0.5,1.0358,0
point,1,True,15,4,512,8,2,0.5,1.3546,0
point,1,True,15,5,768,8,2,0.5,1.2295,0
point,1,True,15,6,256,8,2,0.5,1.4361,1
point,1,True,15,7,256,8,2,0.5,0.8803,0
point,1,True,15,8,768,8,2,0.5,1.2733,0
point,1,True,16,0,256,24,2,1,0.8017,0
point,1,True,16,1,256,24,2,1,1.0634,0
point,1,True,16,2,768,24,2,1,1.0822,1
point,1,True,16,3,512,24,2,1,0.7439,0
point,1,True,16,4,768,24,2,1,0.9068,0
point,1,True,16,5,512,24,2,1,0.9843,0
point,1,True,16,6,768,24,2,1,1.2111,0
point,1,True,16,7,256,24,2,1,0.8335,0
point,1,True,16,8,512,24,2,1,0.8438,0
point,1,True,17,0,256,16,2,1,1.1715,1
point,1,True,17,1,256,16,2,1,1.084,0
point,1,True,17,2,512,16,2,1,1.0997,0
point,1,True,17,3,512,16,2,1,1.0564,0
point,1,True,17,4,768,16,2,1,0.936,0
point,1,True,17,5,512,16,2,1,0.9252,0
point,1,True,17,6,768,16,2,1,0.9096,0
point,1,True,17,7,256,16,2,1,0.8365,0
point,1,True,17,8,768,16,2,1,1.4161,0
point,1,True,18,0,256,8,1.33,1,1.4318,1
point,1,True,18,1,512,8,1.33,1,1.1658,0
point,1,True,18,2,512,8,1.33,1,1.2758,0
point,1,True,18,3,768,8,1.33,1,1.1091,0
point,1,True,18,4,768,8,1.33,1,1.2536,0
point,1,True,18,5,512,8,1.33,1,1.5424,0
point,1,True,18,6,768,8,1.33,1,1.4547,0
point,1,True,18,7,256,8,1.33,1,1.5581,1
point,1,True,18,8,256,8,1.33,1,1.1191,0
point,1,True,19,0,512,8,3,0,2.1535,2
point,1,True,19,1,768,8,3,0,1.5592,0
point,1,True,19,2,256,8,3,0,2.3576,2
point,1,True,19,3,768,8,3,0,1.2867,0
point,1,True,19,4,512,8,3,0,1.2853,0
point,1,True,19,5,256,8,3,0,1.0642,0
point,1,True,19,6,256,8,3,0,1.9781,2
point,1,True,19,7,768,8,3,0,1.075,0
point,1,True,19,8,512,8,3,0,1.073,0
point,1,True,20,0,512,8,3,1,1.759,0
point,1,True,20,1,256,8,3,1,1.218,0
point,1,True,20,2,768,8,3,1,2.3847,2
point,1,True,20,3,256,8,3,1,2.1046,2
point,1,True,20,4,768,8,3,1,1.403,0
point,1,True,20,5,768,8,3,1,1.2174,0
point,1,True,20,6,256,8,3,1,1.1049,0
point,1,True,20,7,512,8,3,1,2.8292,2
point,1,True,20,8,512,8,3,1,1.3991,0
point,1,True,21,0,256,16,1.33,0,1.1666,0
point,1,True,21,1,256,16,1.33,0,1.2464,1
point,1,True,21,2,512,16,1.33,0,0.8937,0
point,1,True,21,3,256,16,1.33,0,1.2868,1
point,1,True,21,4,512,16,1.33,0,1.8609,2
point,1,True,21,5,768,16,1.33,0,1.1185,0
point,1,True,21,6,768,16,1.33,0,1.0384,0
point,1,True,21,7,768,16,1.33,0,0.8853,0
point,1,True,21,8,512,16,1.33,0,1.1479,0
point,1,True,22,0,256,24,3,0,1.2462,1
point,1,True,22,1,768,24,3,0,1.0055,1
point,1,True,22,2,768,24,3,0,0.7831,0
point,1,True,22,3,512,24,3,0,0.8062,0
point,1,True,22,4,768,24,3,0,0.9327,0
point,1,True,22,5,256,24,3,0,1.0466,1
point,1,True,22,6,256,24,3,0,0.8632,0
point,1,True,22,7,512,24,3,0,1.1183,0
point,1,True,22,8,512,24,3,0,0.9173,0
point,1,True,23,0,512,8,1.33,0,2.0482,1
point,1,True,23,1,256,8,1.33,0,1.3177,0
point,1,True,23,2,512,8,1.33,0,1.9021,2
point,1,True,23,3,512,8,1.33,0,1.3585,0
point,1,True,23,4,256,8,1.33,0,1.182,0
point,1,True,23,5,768,8,1.33,0,1.7253,1
point,1,True,23,6,768,8,1.33,0,1.2464,0
point,1,True,23,7,256,8,1.33,0,1.5743,1
point,1,True,23,8,768,8,1.33,0,1.2698,0
point,1,True,24,0,512,24,2,0,0.9752,0
point,1,True,24,1,768,24,2,0,0.7469,0
point,1,True,24,2,768,24,2,0,2.1368,2
point,1,True,24,3,256,24,2,0,0.8592,0
point,1,True,24,4,256,24,2,0,0.7894,0
point,1,True,24,5,256,24,2,0,1.2305,1
point,1,True,24,6,512,24,2,0,0.9434,0
point,1,True,24,7,768,24,2,0,1.2661,1
point,1,True,24,8,512,24,2,0,0.96,1
point,1,True,25,0,768,24,1.33,0.5,1.3423,0
point,1,True,25,1,256,24,1.33,0.5,1.7724,1
point,1,True,25,2,512,24,1.33,0.5,1.0744,0
point,1,True,25,3,768,24,1.33,0.5,0.951,0
point,1,True,25,4,256,24,1.33,0.5,0.9384,0
point,1,True,25,5,512,24,1.33,0.5,0.8537,0
point,1,True,25,6,768,24,1.33,0.5,1.0505,0
point,1,True,25,7,512,24,1.33,0.5,1.0021,0
point,1,True,25,8,256,24,1.33,0.5,1.1954,0
point,1,True,26,0,256,8,1.33,0.5,2.0806,1
point,1,True,26,1,768,8,1.33,0.5,1.6128,0
point,1,True,26,2,768,8,1.33,0.5,1.425,0
point,1,True,26,3,512,8,1.33,0.5,2.1415,1
point,1,True,26,4,256,8,1.33,0.5,1.5848,0
point,1,True,26,5,512,8,1.33,0.5,1.4033,0
point,1,True,26,6,768,8,1.33,0.5,1.4514,0
point,1,True,26,7,256,8,1.33,0.5,0.9833,0
point,1,True,26,8,512,8,1.33,0.5,1.3959,0
point,2,True,0,0,768,24,1.33,0.5,0.87,0
point,2,True,0,1,768,24,1.33,0.5,1.2292,0
point,2,True,0,2,512,24,1.33,0.5,1.2023,0
point,2,True,0,3,512,24,1.33,0.5,0.896,0
point,2,True,0,4,256,24,1.33,0.5,0.6834,0
point,2,True,0,5,768,24,1.33,0.5,0.903,0
point,2,True,0,6,256,24,1.33,0.5,1.0668,0
point,2,True,0,7,256,24,1.33,0.5,1.3092,1
point,2,True,0,8,512,24,1.33,0.5,1.3679,0
point,2,True,1,0,768,16,1.33,1,1.6073,1
point,2,True,1,1,512,16,1.33,1,1.5755,1
point,2,True,1,2,256,16,1.33,1,1.4565,0
point,2,True,1,3,512,16,1.33,1,1.0288,0
point,2,True,1,4,256,16,1.33,1,0.8955,0
point,2,True,1,5,768,16,1.33,1,1.0546,0
point,2,True,1,6,512,16,1.33,1,1.264,1
point,2,True,1,7,768,16,1.33,1,1.5447,0
point,2,True,1,8,256,16,1.33,1,0.984,0
point,2,True,2,0,768,24,2,0,1.1742,0
point,2,True,2,1,512,24,2,0,1.1297,0
point,2,True,2,2,768,24,2,0,1.099,0
point,2,True,2,3,512,24,2,0,1.5731,2
point,2,True,2,4,256,24,2,0,1.4782,2
point,2,True,2,5,512,24,2,0,0.8466,0
point,2,True,2,6,768,24,2,0,1.1182,0
point,2,True,2,7,256,24,2,0,1.0067,0
point,2,True,2,8,256,24,2,0,0.654,0
point,2,True,3,0,256,8,2,0.5,1.3768,1
point,2,True,3,1,256,8,2,0.5,1.1456,0
point,2,True,3,2,512,8,2,0.5,1.5662,0
point,2,True,3,3,768,8,2,0.5,1.4783,0
